Date,SPX,GLD,USO,SLV,EUR/USD
1/26/2018,2872.870117,128.070007,13.24,16.41,1.239234
1/29/2018,2853.530029,127.349998,13.11,16.209999,1.242807
1/30/2018,2822.429932,126.800003,12.9,16.15,1.238114
1/31/2018,2823.810059,127.650002,12.98,16.35,1.240957
02/01/2018,2821.97998,128.070007,13.24,16.25,1.241866
02/02/2018,2762.129883,126.389999,13.04,15.66,1.251001
02/05/2018,2648.939941,126.709999,12.77,15.74,1.244694
02/06/2018,2695.139893,125.379997,12.7,15.65,1.236782
02/07/2018,2681.659912,124.790001,12.37,15.41,1.238129
02/08/2018,2581,124.980003,12.09,15.46,1.226813
02/09/2018,2619.550049,124.769997,11.86,15.39,1.226076
02/12/2018,2656,125.370003,11.89,15.57,1.22528
2/13/2018,2662.939941,126.080002,11.87,15.62,1.230376
2/14/2018,2698.629883,128.229996,12.18,15.91,1.235376
2/15/2018,2731.199951,128.380005,12.33,15.91,1.246727
2/16/2018,2732.219971,127.959999,12.38,15.73,1.25036
2/20/2018,2716.26001,126.239998,12.39,15.54,1.239864
2/21/2018,2701.330078,125.660004,12.29,15.54,1.233532
2/22/2018,2703.959961,126.300003,12.59,15.66,1.228184
2/23/2018,2747.300049,126.139999,12.77,15.59,1.232666
2/26/2018,2779.600098,126.449997,12.86,15.68,1.228713
2/27/2018,2744.280029,125.129997,12.65,15.48,1.231557
2/28/2018,2713.830078,125,12.37,15.46,1.223032
03/01/2018,2677.669922,124.720001,12.35,15.54,1.219126
03/02/2018,2691.25,125.389999,12.37,15.56,1.227084
03/05/2018,2720.939941,125.18,12.59,15.49,1.231542
03/06/2018,2728.120117,126.529999,12.57,15.78,1.233654
03/07/2018,2726.800049,125.720001,12.35,15.53,1.241665
03/08/2018,2738.969971,125.419998,12.15,15.55,1.241465
03/09/2018,2786.570068,125.540001,12.47,15.63,1.230663
03/12/2018,2783.02002,125.540001,12.37,15.61,1.230875
3/13/2018,2765.310059,125.779999,12.24,15.61,1.233958
3/14/2018,2749.47998,125.699997,12.28,15.61,1.239234
3/15/2018,2747.330078,124.900002,12.34,15.45,1.237562
3/16/2018,2752.01001,124.599998,12.55,15.39,1.230921
3/19/2018,2712.919922,124.870003,12.55,15.39,1.228079
3/20/2018,2716.939941,124.309998,12.81,15.28,1.233685
3/21/2018,2711.929932,126.480003,13.18,15.65,1.22519
3/22/2018,2643.689941,125.980003,12.95,15.44,1.234766
3/23/2018,2588.26001,127.610001,13.28,15.58,1.232499
3/26/2018,2658.550049,128.279999,13.21,15.72,1.245749
3/27/2018,2612.620117,127.489998,13.08,15.57,1.240787
3/28/2018,2605,125.730003,13.04,15.36,1.231027
3/29/2018,2640.870117,125.790001,13.09,15.41,1.230285
04/02/2018,2581.879883,127.260002,12.74,15.65,1.229271
04/03/2018,2614.449951,126.300003,12.81,15.46,1.227853
04/04/2018,2644.689941,126.449997,12.82,15.38,1.228682
04/05/2018,2662.840088,125.800003,12.83,15.45,1.22516
04/09/2018,2613.159912,126.82,12.77,15.56,1.23224
04/10/2018,2656.870117,127.120003,13.25,15.62,1.236308
04/11/2018,2642.189941,128.110001,13.45,15.69,1.237164
04/12/2018,2663.98999,126.620003,13.52,15.52,1.23297
4/16/2018,2677.840088,127.629997,13.38,15.72,1.238513
4/17/2018,2706.389893,127.75,13.41,15.8,1.237317
4/18/2018,2708.639893,127.849998,13.88,16.18,1.237915
4/19/2018,2693.129883,127.599998,13.77,16.26,1.234553
4/23/2018,2670.290039,125.620003,13.92,15.67,1.220897
4/24/2018,2634.560059,126.230003,13.68,15.76,1.22414
4/25/2018,2639.399902,125.410004,13.72,15.61,1.217167
4/26/2018,2666.939941,124.970001,13.77,15.58,1.210962
4/30/2018,2648.050049,124.589996,13.8,15.38,1.208123
05/01/2018,2654.800049,123.709999,13.61,15.24,1.199156
05/02/2018,2635.669922,123.650002,13.67,15.42,1.1951
05/03/2018,2629.72998,124.279999,13.82,15.46,1.198926
05/07/2018,2672.629883,124.57,14.1,15.52,1.193374
05/08/2018,2671.919922,124.589996,14.06,15.51,1.186789
05/09/2018,2697.790039,124.330002,14.37,15.53,1.184722
05/10/2018,2723.070068,125.18,14.41,15.74,1.191753
5/14/2018,2730.129883,124.489998,14.38,15.56,1.193118
5/16/2018,2725.780029,122.5438,14.4058,15.4542,1.182033
